slug,version,active_installs,path,download_link
asgaros-forum,2.0.0,20000,plugins/zip/78/asgaros-forum/asgaros-forum.zip,https://downloads.wordpress.org/plugin/asgaros-forum.2.0.0.zip
asmember,1.5.4,10,plugins/zip/31/asmember/asmember.zip,https://downloads.wordpress.org/plugin/asmember.zip
booking-calendar,3.2.0,6000,plugins/zip/18/booking-calendar/booking-calendar.zip,https://downloads.wordpress.org/plugin/booking-calendar.3.2.0.zip
bp-featured-members,1.1.2,1000,plugins/zip/36/bp-featured-members/bp-featured-members.zip,https://downloads.wordpress.org/plugin/bp-featured-members.1.1.2.zip
bp-profile-home-widgets,1.1.6,80,plugins/zip/54/bp-profile-home-widgets/bp-profile-home-widgets.zip,https://downloads.wordpress.org/plugin/bp-profile-home-widgets.1.1.6.zip
bp-restrict,1.5.2,900,plugins/zip/80/bp-restrict/bp-restrict.zip,https://downloads.wordpress.org/plugin/bp-restrict.1.5.2.zip
bp-user-widgets,1.0.7,90,plugins/zip/37/bp-user-widgets/bp-user-widgets.zip,https://downloads.wordpress.org/plugin/bp-user-widgets.1.0.7.zip
buddymedia,,,,
buddypress-profile-completion,1.0.8,1000,plugins/zip/13/buddypress-profile-completion/buddypress-profile-completion.zip,https://downloads.wordpress.org/plugin/buddypress-profile-completion.1.0.8.zip
buddypress-xprofile-image-field,2.3.1,400,plugins/zip/0/buddypress-xprofile-image-field/buddypress-xprofile-image-field.zip,https://downloads.wordpress.org/plugin/buddypress-xprofile-image-field.2.3.1.zip
community-events,1.4.8,70,plugins/zip/49/community-events/community-events.zip,https://downloads.wordpress.org/plugin/community-events.zip
contact-forms-builder,2.1.4,5000,plugins/zip/28/contact-forms-builder/contact-forms-builder.zip,https://downloads.wordpress.org/plugin/contact-forms-builder.2.1.4.zip
create-user-with-password-multisite,1.0.8,200,plugins/zip/63/create-user-with-password-multisite/create-user-with-password-multisite.zip,https://downloads.wordpress.org/plugin/create-user-with-password-multisite.1.0.8.zip
custom-add-user,2.0.2,10,plugins/zip/14/custom-add-user/custom-add-user.zip,https://downloads.wordpress.org/plugin/custom-add-user.2.0.2.zip
delete-me,3.0,10000,plugins/zip/4/delete-me/delete-me.zip,https://downloads.wordpress.org/plugin/delete-me.3.0.zip
doppelme-avatars,1.04,10,plugins/zip/3/doppelme-avatars/doppelme-avatars.zip,https://downloads.wordpress.org/plugin/doppelme-avatars.1.04.zip
edd-securionpay,,,,
