name,slug,homepage,version,active_installs,path
"Loginizer",loginizer,https://wordpress.org/extend/plugins/loginizer/,1.7.0,1000000,plugins/zip/44/loginizer/loginizer.zip
"WP Fastest Cache",wp-fastest-cache,http://wordpress.org/plugins/wp-fastest-cache/,1.0.0,1000000,plugins/zip/24/wp-fastest-cache/wp-fastest-cache.zip
"Autoptimize",autoptimize,https://autoptimize.com/,2.9.5.1,1000000,plugins/zip/72/autoptimize/autoptimize.zip
"Essential Addons for Elementor",essential-addons-for-elementor-lite,https://essential-addons.com/elementor/,5.0.12,1000000,plugins/zip/47/essential-addons-for-elementor-lite/essential-addons-for-elementor-lite.zip
"Disable Comments &#8211; Remove Comments &amp; Stop Spam [Multi-Site Support]",disable-comments,https://wordpress.org/plugins/disable-comments/,2.3.4,1000000,plugins/zip/76/disable-comments/disable-comments.zip
"Regenerate Thumbnails",regenerate-thumbnails,https://alex.blog/wordpress-plugins/regenerate-thumbnails/,3.1.5,1000000,plugins/zip/2/regenerate-thumbnails/regenerate-thumbnails.zip
"Loco Translate",loco-translate,https://wordpress.org/plugins/loco-translate/,2.6.1,1000000,plugins/zip/5/loco-translate/loco-translate.zip
"Insert Headers and Footers by WPBeginner",insert-headers-and-footers,http://www.wpbeginner.com/,1.6.0,1000000,plugins/zip/59/insert-headers-and-footers/insert-headers-and-footers.zip
"Smush &#8211; Lazy Load Images, Optimize &amp; Compress Images",wp-smushit,http://wordpress.org/plugins/wp-smushit/,3.9.5,1000000,plugins/zip/10/wp-smushit/wp-smushit.zip
"Duplicator &#8211; WordPress Migration Plugin",duplicator,https://snapcreek.com/duplicator/duplicator-free/,1.4.4,1000000,plugins/zip/87/duplicator/duplicator.zip
"SVG Support",svg-support,http://wordpress.org/plugins/svg-support/,2.4.2,900000,plugins/zip/50/svg-support/svg-support.zip
"YITH WooCommerce Wishlist",yith-woocommerce-wishlist,https://yithemes.com/themes/plugins/yith-woocommerce-wishlist/,3.8.0,900000,plugins/zip/51/yith-woocommerce-wishlist/yith-woocommerce-wishlist.zip
"WP Maintenance Mode &amp; Coming Soon",wp-maintenance-mode,,2.4.4,900000,plugins/zip/80/wp-maintenance-mode/wp-maintenance-mode.zip
"Facebook for WooCommerce",facebook-for-woocommerce,https://github.com/facebookincubator/facebook-for-woocommerce/,2.6.12,900000,plugins/zip/43/facebook-for-woocommerce/facebook-for-woocommerce.zip
"File Manager",wp-file-manager,https://wordpress.org/plugins/wp-file-manager,7.1.4,900000,plugins/zip/0/wp-file-manager/wp-file-manager.zip
"WooCommerce Stripe Payment Gateway",woocommerce-gateway-stripe,https://wordpress.org/plugins/woocommerce-gateway-stripe/,6.3.0,900000,plugins/zip/43/woocommerce-gateway-stripe/woocommerce-gateway-stripe.zip
"ExactMetrics &#8211; Google Analytics Dashboard for WordPress (Website Stats Plugin)",google-analytics-dashboard-for-wp,https://exactmetrics.com,7.5.0,900000,plugins/zip/55/google-analytics-dashboard-for-wp/google-analytics-dashboard-for-wp.zip
"Breadcrumb NavXT",breadcrumb-navxt,http://mtekk.us/code/breadcrumb-navxt/,7.0.2,900000,plugins/zip/86/breadcrumb-navxt/breadcrumb-navxt.zip
"EWWW Image Optimizer",ewww-image-optimizer,https://wordpress.org/plugins/ewww-image-optimizer/,6.5.0,900000,plugins/zip/14/ewww-image-optimizer/ewww-image-optimizer.zip
"Limit Login Attempts",limit-login-attempts,http://devel.kostdoktorn.se/limit-login-attempts,1.7.1,800000,plugins/zip/50/limit-login-attempts/limit-login-attempts.zip
"Ocean Extra",ocean-extra,https://oceanwp.org/extension/ocean-extra/,1.9.4,800000,plugins/zip/73/ocean-extra/ocean-extra.zip
"Mailchimp for WooCommerce",mailchimp-for-woocommerce,https://mailchimp.com/connect-your-store/,2.6.2,800000,plugins/zip/48/mailchimp-for-woocommerce/mailchimp-for-woocommerce.zip
"The Events Calendar",the-events-calendar,,5.14.1,800000,plugins/zip/34/the-events-calendar/the-events-calendar.zip
"SiteOrigin Widgets Bundle",so-widgets-bundle,https://siteorigin.com/widgets-bundle/,1.32.2,800000,plugins/zip/79/so-widgets-bundle/so-widgets-bundle.zip
"Hello Dolly",hello-dolly,http://wordpress.org/plugins/hello-dolly/,1.7.2,800000,plugins/zip/82/hello-dolly/hello-dolly.zip
"TablePress",tablepress,https://tablepress.org/,1.14,800000,plugins/zip/64/tablepress/tablepress.zip
"Smart Slider 3",smart-slider-3,https://smartslider3.com/,3.5.1.4,800000,plugins/zip/53/smart-slider-3/smart-slider-3.zip
"Sucuri Security &#8211; Auditing, Malware Scanner and Security Hardening",sucuri-scanner,https://wordpress.sucuri.net/,1.8.30,800000,plugins/zip/16/sucuri-scanner/sucuri-scanner.zip
"Creative Mail – Easier WordPress &amp; WooCommerce Email Marketing",creative-mail-by-constant-contact,https://wordpress.org/plugins/creative-mail-by-constant-contact/,1.5.2,700000,plugins/zip/88/creative-mail-by-constant-contact/creative-mail-by-constant-contact.zip
"Polylang",polylang,https://polylang.pro,3.1.4,700000,plugins/zip/71/polylang/polylang.zip
"Disable Gutenberg",disable-gutenberg,https://perishablepress.com/disable-gutenberg/,2.6,700000,plugins/zip/66/disable-gutenberg/disable-gutenberg.zip
"WordPress Gallery Plugin &#8211; NextGEN Gallery",nextgen-gallery,https://www.imagely.com/wordpress-gallery-plugin/nextgen-gallery/,3.24,700000,plugins/zip/31/nextgen-gallery/nextgen-gallery.zip
"Meta Box &#8211; WordPress Custom Fields Framework",meta-box,https://metabox.io,5.6.2,700000,plugins/zip/58/meta-box/meta-box.zip
"Maintenance",maintenance,https://wpmaintenancemode.com/,4.05,700000,plugins/zip/8/maintenance/maintenance.zip
"WP-PageNavi",wp-pagenavi,https://lesterchan.net/portfolio/programming/php/,2.94.0,700000,plugins/zip/66/wp-pagenavi/wp-pagenavi.zip
"Popup Maker &#8211; Popup for opt-ins, lead gen, &amp; more",popup-maker,https://wppopupmaker.com/?utm_campaign=plugin-info&utm_source=plugin-header&utm_medium=plugin-uri,1.16.7,700000,plugins/zip/38/popup-maker/popup-maker.zip
"Envato Elements &#8211; Photos &amp; Elementor Templates",envato-elements,,2.0.11,700000,plugins/zip/64/envato-elements/envato-elements.zip
