name,delete_violation,access_violation,third_party_violation,encryption_violation,violation
buddypress-profile-completion,TN,TN,TN,TN,TN
wp-gdpr-cookie-consent,TN,TN,TN,TN,TN
asgaros-forum,FP,FN,TN,TN,TP
bp-featured-members,FP,TN,TN,TN,FP
fg-opencart-to-woocommerce,TN,TN,TN,TN,TN
buddypress-xprofile-image-field,TN,TN,FN,TN,FN
create-user-with-password-multisite,TN,TN,TN,TN,FN
custom-add-user,TN,TN,TN,TN,TN
simple-history,TN,TN,FP,FP,FP
onesignal-free-web-push-notifications,TN,TN,TN,TN,TN
delete-me,TN,TN,TN,FN,FN
asmember,TP,FN,TN,FN,TP
doppelme-avatars,TN,TN,TN,TN,TN
community-events,TN,TN,TN,TN,TN
theme-my-login,FP,TN,TN,TN,FP
patreon-connect,FP,TN,FP,FP,FP
katex,TN,TN,TN,TN,TN
userplus,TP,TN,TN,TN,TP
videowhisper-live-streaming-integration,TP,FN,TN,TN,TP
tutor,TP,FN,TN,TN,TP
vindi-payment-gateway,TP,FN,TP,FP,TP
profilegrid-user-profiles-groups-and-communities,TP,TN,TN,FN,FP
woo-oscommerce-sync,TP,TN,TN,TN,TP
auto-more-tag,,,,,
wp-security-audit-log-for-paid-memberships-pro,,,,,
event-calendar-scheduler,,,,,
editor-menu-and-widget-access,,,,,
contextly-related-links,,,,,
wpfunnels,,,,,
posts-widget-with-tabs,,,,,
username-changer,TP,TN,TN,TN,TP
wc-payphone-gateway,,,,,
all-in-one-seo-pack,,,,,
buy-x-get-y-free-by-storepro,,,,,
contact-forms-builder,TN,TN,TN,TN,TN
links-dropdown-widget,,,,,
lh-registration-page,FP,TN,TN,TN,FP
wpforms-lite,,,,,
youtube-customizr,,,,,
order-tip-woo,,,,,
namaste-lms,TP,FN,TN,TN,TP
google-analytics-for-wordpress,,,,,
wp-mail-smtp,,,,,
tinymce-advanced,,,,,
better-search-replace,,,,,
wp-file-upload,FP,TN,TN,FN,TP
duplicate-post,,,,,
wp-private-content-plus,FN,FN,TN,TN,FN
all-in-one-wp-migration,,,,,
redirection,,,,,
instagram-feed,,,,,
all-in-one-wp-security-and-firewall,,,,,
advanced-custom-fields,FP,TN,TN,TN,FP
contact-form-7,FP,TN,TN,FP,FP
wordpress-importer,FN,FN,TN,FN,FN
cookie-notice,,,,,
classic-editor,FP,TN,TN,TN,FP
wp-super-cache,,,,,
limit-login-attempts-reloaded,,,,,
better-wp-security,,,,,
one-click-demo-import,,,,,
mailchimp-for-wp,,,,,
classic-widgets,,,,,
optinmonster,,,,,
header-footer-elementor,,,,,
wp-multibyte-patch,,,,,
cookie-law-info,,,,,
astra-sites,,,,,
worker,,,,,
