name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
bp-featured-members,true,false,true,false,false,true
asgaros-forum,true,false,true,false,false,true
doppelme-avatars,true,false,false,false,false,false
theme-my-login,true,false,true,false,false,true
bp-user-widgets,true,false,false,false,false,false
fg-opencart-to-woocommerce,true,false,false,false,false,false
asmember,true,false,true,false,false,true
buddypress-profile-completion,true,false,false,false,false,false
custom-add-user,true,false,false,false,false,false
lh-registration-page,true,false,true,false,false,true
tutor,true,false,true,false,false,true
contextly-related-links,true,false,false,false,false,false
bp-profile-home-widgets,true,false,false,false,false,false
simple-history,true,false,false,true,true,true
delete-me,true,false,false,false,false,false
username-changer,true,false,true,false,false,true
buddypress-xprofile-image-field,true,false,false,false,false,false
namaste-lms,true,false,true,false,false,true
userplus,true,false,true,false,false,true
event-calendar-scheduler,true,false,false,true,true,true
woo-oscommerce-sync,true,false,true,false,false,true
community-events,true,false,false,false,false,false
wp-file-upload,true,false,true,false,false,true
videowhisper-live-streaming-integration,true,false,true,false,false,true
create-user-with-password-multisite,true,false,false,false,false,false
editor-menu-and-widget-access,true,false,false,false,false,false
wp-security-audit-log-for-paid-memberships-pro,true,false,false,false,false,false
mailchimp-for-wp,true,false,true,true,false,true
all-in-one-wp-migration,true,false,false,false,true,true
wp-private-content-plus,true,false,false,false,false,false
redirection,true,false,false,false,false,false
duplicate-page,true,false,true,false,false,true
