name,delete_violation,access_violation,third_party_violation,encryption_violation,violation
advanced-custom-fields,FP,FP,TN,TN,FP
asgaros-forum,FP,FN,TN,TN,TP
asmember,TP,FN,TN,FN,TP
booking-calendar,TN,TN,TN,TN,TN
bp-featured-members,FP,TN,TN,TN,FP
bp-profile-home-widgets,TN,TN,TN,TN,TN
bp-restrict,FP,TN,TN,TN,FP
bp-user-widgets,TN,TN,TN,TN,TN
buddymedia,TN,TN,TN,TN,TN
buddypress-profile-completion,TN,TN,TN,TN,TN
buddypress-xprofile-image-field,TN,TN,FN,TN,FN
classic-editor,FP,TN,TN,TN,FP
community-events,TN,TN,TN,TN,TN
contact-form-7,FP,TN,TN,FP,FP
contact-forms-builder,TN,TN,TN,TN,TN
create-user-with-password-multisite,TN,TN,TN,TN,FN
custom-add-user,TN,TN,TN,TN,TN
delete-me,TN,TN,TN,FN,FN
doppelme-avatars,TN,TN,TN,TN,TN
edd-securionpay,FN,TN,TN,TN,FN
fg-opencart-to-woocommerce,TN,TN,TN,TN,TN
gdpr-cookie-consent,TN,TN,TN,TN,TN
katex,TN,TN,TN,TN,TN
lh-registration-page,FP,TN,TN,TN,FP
namaste-lms,TP,FN,TN,TN,TP
onesignal-free-web-push-notifications,TN,TN,TN,TN,TN
patreon-connect,FP,TN,FP,FP,FP
ppv-live-webcams,TP,TP,TN,TN,TP
profilegrid-user-profiles-groups-and-communities,TP,TN,TN,TP,FP
simple-history,FP,FP,FP,FP,FP
theme-my-login,FP,TN,TN,TN,FP
tutor,TP,FN,TN,TN,TP
username-changer,TP,TN,TN,TN,TP
userplus,TP,TN,TN,TN,TP
videowhisper-live-streaming-integration,TP,TP,TN,TN,TP
vindi-payment-gateway,TP,FN,TP,FP,TP
woo-oscommerce-sync,TP,FP,TN,TN,TP
wordpress-importer,FN,FN,TN,FN,FN
wp-file-upload,FP,FP,TN,FN,TP
wp-private-content-plus,FN,FN,TN,TN,FN
