name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
dirittopratico,false,false,false,false,false,false
protocol-relative-theme-assets,false,false,false,false,false,false
gravatar-wordpress-plugin,false,false,false,false,false,false
opencart-product-display,false,false,false,false,false,false
quizad,true,false,false,false,false,false
bbp-api,true,false,false,false,false,false
bbpress-live,true,false,false,false,false,false
esv-bible-shortcode-for-wordpress,true,false,false,true,true,true
disable-cookbook-ratings,false,false,false,false,false,false
greek-bmi-calculator,false,false,false,false,false,false
only-admin-access,false,false,false,false,false,false
autoset-featured-image,false,false,false,false,false,false
itez-payment-gateway-for-woocommerce,true,false,false,false,false,false
options-framework,true,false,true,false,false,true
bc-imperial-date,false,false,false,false,false,false
data-subject-access-request-form-dsar-sar-ccpa-seers,false,false,false,false,false,false
ultimate-image-hover-effects,false,false,false,false,false,false
mc4wp-activity,false,false,false,false,false,false
jannes-mannes-appmail,true,false,false,false,false,false
cf7-skins-innozilla,false,false,false,false,false,false
wp-parsi-iran-weather,false,false,false,false,false,false
3b-meteo,false,false,false,false,false,false
avayo-ticketshop,false,false,false,false,false,false
iwg-hide-dashboard,false,false,false,false,false,false
default-image-settings,false,false,false,false,false,false
stannp-directmailing,true,false,false,false,false,false
spreadsheet-of-posts,false,false,false,false,false,false
order-delivery-date-for-woocommerce,true,false,false,false,false,false
senangpay-payment-gateway-for-woocommerce,true,false,false,false,false,false
gnupay-kcp,true,false,false,false,false,false
extended-options,true,false,false,false,false,false
azurecurve-breadcrumbs,false,false,false,false,false,false
delete-expired-transients,false,false,false,false,false,false
date-time-picker-for-contact-form-7,false,false,false,false,false,false
experitus-form,true,false,false,false,false,false
organic-custom-content,true,false,true,false,false,true
99-doanloandmangager,false,false,false,false,false,false
checkout-mestres-do-wp-addon-mercado-pago,false,false,false,false,false,false
set-all-first-images-as-featured,true,false,false,false,false,false
wp-reading-progress,false,false,false,false,false,false
google-plus-page-badge,false,false,false,false,false,false
our-team-members,false,false,false,false,false,false
