name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
advanced-custom-fields,true,true,true,false,false,true
asgaros-forum,true,false,true,false,false,true
asmember,true,false,true,false,false,true
booking-calendar,true,false,false,false,false,false
bp-featured-members,true,false,true,false,false,true
bp-profile-home-widgets,true,false,false,false,false,false
bp-restrict,true,false,true,false,false,true
bp-user-widgets,true,false,false,false,false,false
buddymedia,true,false,false,false,false,false
buddypress-profile-completion,true,false,false,false,false,false
buddypress-xprofile-image-field,true,false,false,false,false,false
classic-editor,true,false,true,false,false,true
community-events,true,false,false,false,false,false
contact-form-7,true,false,true,false,true,true
contact-forms-builder,true,false,false,false,false,false
create-user-with-password-multisite,true,false,false,false,false,false
custom-add-user,true,false,false,false,false,false
delete-me,true,false,false,false,false,false
doppelme-avatars,true,false,false,false,false,false
edd-securionpay,true,false,false,false,false,false
fg-opencart-to-woocommerce,true,false,false,false,false,false
gdpr-cookie-consent,true,false,false,false,false,false
katex,false,false,false,false,false,false
lh-registration-page,true,false,true,false,false,true
namaste-lms,true,false,true,false,false,true
onesignal-free-web-push-notifications,false,false,false,false,false,false
patreon-connect,true,false,true,true,true,true
ppv-live-webcams,true,true,true,false,false,true
profilegrid-user-profiles-groups-and-communities,true,false,true,false,true,true
simple-history,true,true,true,true,true,true
theme-my-login,true,false,true,false,false,true
tutor,true,false,true,false,false,true
username-changer,true,false,true,false,false,true
userplus,true,false,true,false,false,true
videowhisper-live-streaming-integration,true,true,true,false,false,true
vindi-payment-gateway,true,false,true,true,true,true
woo-oscommerce-sync,true,true,true,false,false,true
wordpress-importer,true,false,false,false,false,false
wp-file-upload,true,true,true,false,false,true
wp-private-content-plus,true,false,false,false,false,false
